,boro,housenumber,streetname,zip,address,long,lat
11045,MANHATTAN,332,EAST 85 STREET,10028,"332 EAST 85 STREET, NEW YORK, NEW YORK",,
11046,MANHATTAN,333,EAST 85 STREET,10028,"333 EAST 85 STREET, NEW YORK, NEW YORK",,
11047,MANHATTAN,340,EAST 85 STREET,10028,"340 EAST 85 STREET, NEW YORK, NEW YORK",,
11048,MANHATTAN,341,EAST 85 STREET,10028,"341 EAST 85 STREET, NEW YORK, NEW YORK",,
11049,MANHATTAN,342,EAST 85 STREET,10028,"342 EAST 85 STREET, NEW YORK, NEW YORK",,
11050,MANHATTAN,343,EAST 85 STREET,10028,"343 EAST 85 STREET, NEW YORK, NEW YORK",,
11051,MANHATTAN,344,EAST 85 STREET,10028,"344 EAST 85 STREET, NEW YORK, NEW YORK",,
11052,MANHATTAN,35,EAST 85 STREET,10028,"35 EAST 85 STREET, NEW YORK, NEW YORK",,
11053,MANHATTAN,351,EAST 85 STREET,10028,"351 EAST 85 STREET, NEW YORK, NEW YORK",,
11054,MANHATTAN,352,EAST 85 STREET,10028,"352 EAST 85 STREET, NEW YORK, NEW YORK",,
11055,MANHATTAN,407,EAST 85 STREET,10028,"407 EAST 85 STREET, NEW YORK, NEW YORK",,
11056,MANHATTAN,409,EAST 85 STREET,10028,"409 EAST 85 STREET, NEW YORK, NEW YORK",,
11057,MANHATTAN,411,EAST 85 STREET,10028,"411 EAST 85 STREET, NEW YORK, NEW YORK",,
11058,MANHATTAN,412,EAST 85 STREET,10028,"412 EAST 85 STREET, NEW YORK, NEW YORK",,
11059,MANHATTAN,413,EAST 85 STREET,10028,"413 EAST 85 STREET, NEW YORK, NEW YORK",,
11060,MANHATTAN,414,EAST 85 STREET,10028,"414 EAST 85 STREET, NEW YORK, NEW YORK",,
11061,MANHATTAN,415,EAST 85 STREET,10028,"415 EAST 85 STREET, NEW YORK, NEW YORK",,
11062,MANHATTAN,418,EAST 85 STREET,10028,"418 EAST 85 STREET, NEW YORK, NEW YORK",,
11063,MANHATTAN,420,EAST 85 STREET,10028,"420 EAST 85 STREET, NEW YORK, NEW YORK",,
11064,MANHATTAN,424,EAST 85 STREET,10028,"424 EAST 85 STREET, NEW YORK, NEW YORK",,
11065,MANHATTAN,425,EAST 85 STREET,10028,"425 EAST 85 STREET, NEW YORK, NEW YORK",,
11066,MANHATTAN,426,EAST 85 STREET,10028,"426 EAST 85 STREET, NEW YORK, NEW YORK",,
11067,MANHATTAN,427,EAST 85 STREET,10028,"427 EAST 85 STREET, NEW YORK, NEW YORK",,
11068,MANHATTAN,428,EAST 85 STREET,10028,"428 EAST 85 STREET, NEW YORK, NEW YORK",,
11069,MANHATTAN,430,EAST 85 STREET,10028,"430 EAST 85 STREET, NEW YORK, NEW YORK",,
11070,MANHATTAN,432,EAST 85 STREET,10028,"432 EAST 85 STREET, NEW YORK, NEW YORK",,
11071,MANHATTAN,434,EAST 85 STREET,10028,"434 EAST 85 STREET, NEW YORK, NEW YORK",,
11072,MANHATTAN,435,EAST 85 STREET,10028,"435 EAST 85 STREET, NEW YORK, NEW YORK",,
11073,MANHATTAN,444,EAST 85 STREET,10028,"444 EAST 85 STREET, NEW YORK, NEW YORK",,
11074,MANHATTAN,446,EAST 85 STREET,10028,"446 EAST 85 STREET, NEW YORK, NEW YORK",,
11075,MANHATTAN,45,EAST 85 STREET,10028,"45 EAST 85 STREET, NEW YORK, NEW YORK",,
11076,MANHATTAN,509,EAST 85 STREET,10028,"509 EAST 85 STREET, NEW YORK, NEW YORK",,
11077,MANHATTAN,510,EAST 85 STREET,10028,"510 EAST 85 STREET, NEW YORK, NEW YORK",,
11078,MANHATTAN,515,EAST 85 STREET,10028,"515 EAST 85 STREET, NEW YORK, NEW YORK",,
11079,MANHATTAN,519,EAST 85 STREET,10028,"519 EAST 85 STREET, NEW YORK, NEW YORK",,
